train_acc,train_loss,val_acc,val_loss
0.07869473684210526,4.038926,0.1004,3.9521942
0.14214736842105263,3.5850654,0.1796,3.4021363
0.18545263157894737,3.3346417,0.1984,3.2887402
0.21730526315789472,3.1447945,0.2468,3.0441403
0.2489684210526316,2.9772868,0.2696,2.8265696
0.2756421052631579,2.83607,0.2844,2.7965195
0.3004421052631579,2.7194183,0.3124,2.7057633
0.3213263157894737,2.6177313,0.32800000000000007,2.5639286
0.3404,2.529448,0.34080000000000005,2.5413702
0.3562526315789474,2.4576266,0.36119999999999997,2.428564
0.37031578947368415,2.3968742,0.36440000000000006,2.3910792
0.38414736842105257,2.3299646,0.40480000000000005,2.2658303
0.3955789473684211,2.2798162,0.3972,2.3364582
0.4046526315789474,2.2254038,0.406,2.2813382
0.41456842105263153,2.1820168,0.41759999999999997,2.196305
0.42637894736842097,2.1355486,0.4164,2.185971
0.4340842105263158,2.1005728,0.42,2.1330428
0.4434526315789474,2.06597,0.42879999999999996,2.1026545
0.45,2.0273314,0.43560000000000004,2.1056511
0.45583157894736837,1.998007,0.45640000000000003,2.0644126
0.46301052631578954,1.9685906,0.45239999999999997,2.0949118
0.471621052631579,1.9451077,0.4296,2.1576233
0.47749473684210525,1.913253,0.4603999999999999,2.024972
0.4820421052631579,1.8880104,0.4648,2.0456204
0.4849052631578948,1.8724167,0.4756,2.0063913
0.4927368421052632,1.8440497,0.4904,1.9436382
0.5002105263157895,1.824788,0.4936,1.9215362
0.5041684210526316,1.7966888,0.49439999999999995,1.8977857
0.5068842105263158,1.7812022,0.4824,1.9065316
0.5133684210526316,1.7611834,0.47879999999999995,1.9884013
0.5175157894736842,1.7470659,0.49560000000000004,1.9177217
0.5189052631578948,1.7315516,0.506,1.8407992
0.5234736842105263,1.717681,0.5004,1.8857123
0.5298947368421052,1.6905909,0.5055999999999999,1.8369789
0.532357894736842,1.6805468,0.5136,1.8439662
0.5343157894736842,1.658725,0.5044000000000001,1.8843945
0.5388631578947369,1.6475191,0.5196000000000001,1.8494747
0.5411578947368422,1.6367548,0.516,1.856951
0.5429684210526317,1.6283306,0.5196000000000001,1.7794768
0.5509473684210527,1.604863,0.5168,1.8062602
0.5528842105263158,1.5916843,0.5219999999999999,1.8012991
0.5570315789473684,1.5769606,0.5044,1.8747326
0.5585473684210527,1.56697,0.5324,1.7614396
0.5613894736842104,1.5499206,0.5331999999999999,1.7493664
0.5669894736842106,1.5324645,0.5336,1.7394056
0.5683157894736842,1.5336766,0.53,1.7719889
0.5685263157894737,1.5236001,0.5416000000000001,1.7055085
0.5723578947368421,1.509069,0.518,1.8145013
0.5755368421052631,1.4949428,0.5328,1.7466033
0.5802736842105263,1.4825882,0.5356000000000001,1.780973
0.5834105263157895,1.4683024,0.5324,1.7783355
0.5844631578947369,1.4644945,0.5352,1.7613249
0.5878526315789474,1.4475195,0.528,1.7497313
0.5902736842105263,1.4371278,0.542,1.7344372
0.5906947368421053,1.4293079,0.5428000000000001,1.7176644
0.5924421052631581,1.427975,0.5432,1.7449073
0.5933473684210527,1.4153153,0.542,1.7296588
0.5996842105263158,1.4019763,0.5536,1.6929604
0.5999789473684211,1.3952655,0.5436,1.702654
0.6042736842105263,1.3839384,0.5476,1.6997685
0.6061473684210527,1.3780793,0.5424,1.7417428
0.607221052631579,1.3671998,0.5576000000000001,1.712433
0.6109263157894737,1.3535583,0.5448000000000001,1.7241414
0.610442105263158,1.3528041,0.5544,1.6791098
0.6155368421052632,1.3392427,0.5556,1.6716523
0.6148842105263158,1.3367324,0.5556,1.6882019
0.6186105263157895,1.3270154,0.56,1.661602
0.618421052631579,1.3213829,0.5672,1.6640134
0.6212842105263157,1.3220974,0.5644,1.6680357
0.6234315789473684,1.3062428,0.5588,1.6719933
0.6264,1.2964901,0.5672,1.6719432
0.6251578947368421,1.292119,0.5708000000000001,1.6363865
0.6295999999999999,1.285589,0.5532,1.6793982
0.634378947368421,1.2741277,0.5623999999999999,1.665459
0.6321473684210527,1.2784709,0.5728,1.6580368
0.6337894736842105,1.269075,0.5716,1.6488086
0.6365473684210526,1.2640386,0.5736000000000001,1.6557364
0.6334736842105263,1.2618389,0.5720000000000001,1.6694142
0.6364842105263158,1.2533352,0.5684,1.6810985
0.6370315789473684,1.2469254,0.5788,1.6572095
0.6394315789473685,1.2448506,0.5724,1.6570692
0.6418105263157895,1.2346598,0.5744,1.656884
0.6391157894736842,1.2378708,0.5708,1.655725
0.6422736842105264,1.2306837,0.5736,1.6521769
0.6430315789473684,1.2272345,0.5676,1.6608117
0.6456842105263159,1.2220627,0.5660000000000001,1.6712517
0.6431157894736842,1.2239572,0.5744,1.6425765
0.6479789473684212,1.2152336,0.5776,1.6510627
0.6470947368421053,1.2149458,0.5708,1.6509346
0.6473473684210527,1.216817,0.5703999999999999,1.6602333
0.6490736842105262,1.2068838,0.574,1.6470488
0.6492,1.2082638,0.5691999999999999,1.6419961
0.6474526315789473,1.208079,0.5771999999999999,1.6362644
0.6487157894736841,1.2105504,0.5796000000000001,1.6429344
0.6486947368421052,1.2042742,0.5692,1.652314
0.6516631578947368,1.1927136,0.5772,1.6478364
0.6545894736842105,1.1963258,0.5792,1.6440473
0.6546526315789474,1.1952755,0.5771999999999999,1.6416914
0.6518105263157895,1.1996402,0.5788,1.644365
0.6511157894736842,1.1938779,0.5784,1.6430348
